Tier2_Outcomes_ID,Name,Knowledge_Unit,Learning_Aspect,Objective_Number
,Use big O notation formally to give asymptotic upper bounds on time and space complexity of algorithms.,AL/Basic analysis,[Usage],8
,Use big O notation formally to give expected case bounds on time complexity of algorithms.,AL/Basic analysis,[Usage],9
,"Explain the use of big omega, big theta, and little o notation to describe the amount of work done by an algorithm.",AL/Basic analysis,[Familiarity],10
,Use recurrence relations to determine the time complexity of recursively defined algorithms.,AL/Basic analysis,[Usage],11
,"Solve elementary recurrence relations, e.g., using some form of a Master Theorem.",AL/Basic analysis,[Usage],12
,Describe various heuristic problem-solving methods.,AL/Algorithmic Strategies,[Familiarity],7
,Use a heuristic approach to solve an appropriate problem.,AL/Algorithmic Strategies,[Usage],8
,Describe the trade-offs between brute force and heuristic strategies.,AL/Algorithmic Strategies,[Assessment],9
,Describe how a branch-and-bound approach may be used to improve the performance of a heuristic method.,AL/Algorithmic Strategies,[Familiarity],10
,Describe the heap property and the use of heaps as an implementation of priority queues.,AL/Fundamental Data Structures and alrgorithms,[Familiarity],10
,"Solve problems using graph algorithms, including single-source and all-pairs shortest paths, and at least one minimum spanning tree algorithm.",AL/Fundamental Data Structures and alrgorithms,[Usage],11
,Trace and/or implement a string-matching algorithm.,AL/Fundamental Data Structures and alrgorithms,[Usage],12
,Design a context-free grammar to represent a specified language.,"AL/Basic automata, computability and complexity",[Usage],5
,Define the classes P and NP.,"AL/Basic automata, computability and complexity",[Familiarity],6
,Explain the significance of NP-completeness.,"AL/Basic automata, computability and complexity",[Familiarity],7
,"Describe the progression of computer technology components from vacuum tubes to VLSI, from mainframe computer architectures to the organization of warehouse-scale computers.",AR/Digital Logic and Digital Systems ,[Familiarity],1
,Comprehend the trend of modern computer architectures towards multi-core and that parallelism is inherent in all hardware systems.,AR/Digital Logic and Digital Systems ,[Familiarity],2
,Explain the implications of the “power wall” in terms of further processor performance improvements and the drive towards harnessing parallelism.,AR/Digital Logic and Digital Systems ,[Familiarity],3
,"Articulate that there are many equivalent representations of computer functionality, including logical expressions and gates, and be able to use mathematical expressions to describe the functions of simple combinational and sequential circuits.",AR/Digital Logic and Digital Systems ,[Familiarity],4
,"Design the basic building blocks of a computer: arithmetic-logic unit (gate-level), registers (gate-level), central processing unit (register transfer-level), memory (register transfer-level).",AR/Digital Logic and Digital Systems ,[Usage],5
,"Use CAD tools for capture, synthesis, and simulation to evaluate simple building blocks (e.g., arithmeticlogic unit, registers, movement between registers) of a simple computer design.",AR/Digital Logic and Digital Systems ,[Usage],6
,Evaluate the functional and timing diagram behavior of a simple processor implemented at the logic circuit level.,AR/Digital Logic and Digital Systems ,[Assessment],7
,"Explain why everything is data, including instructions, in computers.",AR/Machine Level Representation of Data ,[Familiarity],1
,Explain the reasons for using alternative formats to represent numerical data.,AR/Machine Level Representation of Data ,[Familiarity],2
,Describe how negative integers are stored in sign-magnitude and twos-complement representations.,AR/Machine Level Representation of Data ,[Familiarity],3
,Explain how fixed-length number representations affect accuracy and precision.,AR/Machine Level Representation of Data ,[Familiarity],4
,"Describe the internal representation of non-numeric data, such as characters, strings, records, and arrays.",AR/Machine Level Representation of Data ,[Familiarity],5
,Convert numerical data from one format to another.,AR/Machine Level Representation of Data ,[Usage],6
,Write simple programs at the assembly/machine level for string processing and manipulation.,AR/Machine Level Representation of Data ,[Usage],7
,Explain the organization of the classical von Neumann machine and its major functional units.,AR/Assembly Level Machine Organization,[Familiarity],1
,"Describe how an instruction is executed in a classical von Neumann machine, with extensions for threads, multiprocessor synchronization, and SIMD execution.",AR/Assembly Level Machine Organization,[Familiarity],2
,"Describe instruction level parallelism and hazards, and how they are managed in typical processor pipelines.",AR/Assembly Level Machine Organization,[Familiarity],3
,Summarize how instructions are represented at both the machine level and in the context of a symbolic assembler.,AR/Assembly Level Machine Organization,[Familiarity],4
,Demonstrate how to map between high-level language patterns into assembly/machine language notations.,AR/Assembly Level Machine Organization,[Familiarity],5
,"Explain different instruction formats, such as addresses per instruction and variable length vs. fixed length formats.",AR/Assembly Level Machine Organization,[Familiarity],6
,Explain how subroutine calls are handled at the assembly level.,AR/Assembly Level Machine Organization,[Familiarity],7
,Explain the basic concepts of interrupts and I/O operations.,AR/Assembly Level Machine Organization,[Familiarity],8
,Write simple assembly language program segments.,AR/Assembly Level Machine Organization,[Usage],9
,Show how fundamental high-level programming constructs are implemented at the machine-language level.,AR/Assembly Level Machine Organization,[Usage],10
