Tier1_Topic_ID,Name,Knowledge_Unit
,"Differences among best, expected, and worst case behaviors of an algorithm",AL/Basic Analysis
,Asymptotic analysis of upper and expected complexity bounds,AL/Basic Analysis
,Big O notation: formal definition,AL/Basic Analysis
,"Complexity classes, such as constant, logarithmic, linear, quadratic, and exponential",AL/Basic Analysis
,Empirical measurements of performance,AL/Basic Analysis
,Time and space trade-offs in algorithms,AL/Basic Analysis
,Brute-force algorithms,AL/Algorithmic Strategies
,Greedy algorithms,AL/Algorithmic Strategies
,Divide-and-conquer (cross-reference SDF/Algorithms and Design/Problem-solving strategies),AL/Algorithmic Strategies
,Recursive backtracking,AL/Algorithmic Strategies
,Dynamic Programming,AL/Algorithmic Strategies
,"Simple numerical algorithms, such as computing the average of a list of numbers, finding the min, max, and mode in a list, approximating the square root of a number, or finding the greatest common divisor",AL/Fundamental Data Structures and Algorithms
,Sequential and binary search algorithms,AL/Fundamental Data Structures and Algorithms
,"Worst case quadratic sorting algorithms (selection, insertion)",AL/Fundamental Data Structures and Algorithms
,"Worst or average case O(N log N) sorting algorithms (quicksort, heapsort, mergesort)",AL/Fundamental Data Structures and Algorithms
,"Hash tables, including strategies for avoiding and resolving collisions",AL/Fundamental Data Structures and Algorithms
,"Binary search trees o Common operations on binary search trees such as select min, max, insert, delete, iterate over tree",AL/Fundamental Data Structures and Algorithms
,"Graphs and graph algorithms o Representations of graphs (e.g., adjacency list, adjacency matrix) o Depth- and breadth-first traversals",AL/Fundamental Data Structures and Algorithms
,Finite-state machines,AL/Basic Automata Computability and Complexity
,Regular expressions,AL/Basic Automata Computability and Complexity
,The halting problem,AL/Basic Automata Computability and Complexity
,Models as abstractions of situations,CN/Introduction to Modeling and Simulation
,Simulations as dynamic modeling,CN/Introduction to Modeling and Simulation
,"Simulation techniques and tools, such as physical simulations, human-in-the-loop guided simulations, and virtual reality",CN/Introduction to Modeling and Simulation
,"Foundational approaches to validating models (e.g., comparing a simulation’s output to real data or the output of another model)",CN/Introduction to Modeling and Simulation
,Presentation of results in a form relevant to the system being modeled,CN/Introduction to Modeling and Simulation
,"Sets o Venn diagrams o Union, intersection, complement o Cartesian product o Power sets o Cardinality of finite sets","DS/Sets, Relations, and Functions"
,"Relations o Reflexivity, symmetry, transitivity o Equivalence relations, partial orders","DS/Sets, Relations, and Functions"
,"Functions o Surjections, injections, bijections o Inverses o Composition","DS/Sets, Relations, and Functions"
,Propositional logic (cross-reference: Propositional logic is also reviewed in IS/Knowledge Based Reasoning),DS/Basic Logic
,Logical connectives,DS/Basic Logic
,Truth tables,DS/Basic Logic
,Normal forms (conjunctive and disjunctive),DS/Basic Logic
,Validity of well-formed formula,DS/Basic Logic
,Propositional inference rules (concepts of modus ponens and modus tollens),DS/Basic Logic
,Predicate logic o Universal and existential quantification,DS/Basic Logic
,"Limitations of propositional and predicate logic (e.g., expressiveness issues)",DS/Basic Logic
,"Notions of implication, equivalence, converse, inverse, contrapositive, negation, and contradiction",DS/Proof Techniques
,The structure of mathematical proofs,DS/Proof Techniques
,Direct proofs,DS/Proof Techniques
,Disproving by counterexample,DS/Proof Techniques
,Proof by contradiction,DS/Proof Techniques
,Induction over natural numbers,DS/Proof Techniques
,Structural induction,DS/Proof Techniques
,"Weak and strong induction (i.e., First and Second Principle of Induction)",DS/Proof Techniques
,Recursive mathematical definitions,DS/Proof Techniques
,Counting arguments o Set cardinality and counting o Sum and product rule o Inclusion-exclusion principle o Arithmetic and geometric progressions,DS/Basics of Counting
,The pigeonhole principle,DS/Basics of Counting
,Permutations and combinations o Basic definitions o Pascal’s identity o The binomial theorem,DS/Basics of Counting
,"Solving recurrence relations (cross-reference: AL/Basic Analysis) o An example of a simple recurrence relation, such as Fibonacci numbers o Other examples, showing a variety of solutions",DS/Basics of Counting
,Basic modular arithmetic,DS/Basics of Counting
,Trees o Properties o Traversal strategies,DS/Graphs and Trees
,Undirected graphs,DS/Graphs and Trees
,Directed graphs,DS/Graphs and Trees
,Weighted graphs,DS/Graphs and Trees
,"Finite probability space, events",DS/Discrete Probability
,Axioms of probability and probability measures,DS/Discrete Probability
,"Conditional probability, Bayes’ theorem",DS/Discrete Probability
,Independence,DS/Discrete Probability
,"Integer random variables (Bernoulli, binomial)",DS/Discrete Probability
,"Expectation, including Linearity of Expectation",DS/Discrete Probability
,"Media applications including user interfaces, audio and video editing, game engines, cad, visualization, virtual reality",GV/Fundamental Concepts
,"Digitization of analog data, resolution, and the limits of human perception, e.g., pixels for visual display, dots for laser printers, and samples for audio (HCI/Foundations)",GV/Fundamental Concepts
,Use of standard APIs for the construction of UIs and display of standard media formats (see HCI/GUI construction),GV/Fundamental Concepts
,"Standard media formats, including lossless and lossy formats",GV/Fundamental Concepts
,"Contexts for HCI (anything with a user interface, e.g., webpage, business applications, mobile applications, and games)",HCI/Foundations
,"Processes for user-centered development, e.g., early focus on users, empirical testing, iterative design",HCI/Foundations
,"Different measures for evaluation, e.g., utility, efficiency, learnability, user satisfaction",HCI/Foundations
,Usability heuristics and the principles of usability testing,HCI/Foundations
,"Physical capabilities that inform interaction design, e.g., color perception, ergonomics",HCI/Foundations
,"Cognitive models that inform interaction design, e.g., attention, perception and recognition, movement, and memory; gulfs of expectation and execution",HCI/Foundations
,"Social models that inform interaction design, e.g., culture, communication, networks and organizations",HCI/Foundations
,Principles of good design and good designers; engineering tradeoffs,HCI/Foundations
